Q_Index,R_Index,Embed_Base,Embed_Means,Embed_Sd,VGG16_Base,VGG16_Means,VGG16_Sd
Q50173,R254086,0.4612,0.2968,0.0557,0.1537,0.1937,0.114
Q50176,R284663,0.6838,0.4146,0.1015,0.591,0.2792,0.0901
Q50179,R587367,0.4498,0.3677,0.0632,0.3961,0.3218,0.0838
Q50186,R038042,0.6371,0.4354,0.0995,0.4275,0.3443,0.1059
Q50187,R663560,0.8844,0.4169,0.1011,0.7369,0.2947,0.0953
Q50193,R140829,0.8331,0.3911,0.113,0.7636,0.3569,0.1027
Q50199,R882617,0.4491,0.3787,0.0757,0.4382,0.3568,0.0775
Q50200,R330730,0.6218,0.3911,0.0853,0.1998,0.2136,0.0845
Q50204,R983449,0.3909,0.3385,0.0579,0.6128,0.3128,0.0804
Q50209,R462428,0.8874,0.4087,0.1113,0.487,0.303,0.0884
Q50211,R669569,0.2492,0.2854,0.0426,0.0872,0.255,0.0954
Q50213,R270952,0.474,0.3735,0.0585,0.1658,0.2671,0.076
Q50218,R722552,0.5426,0.3591,0.0745,0.5279,0.3262,0.1012
Q50229,R040485,0.5085,0.4024,0.0706,0.3576,0.3535,0.0883
Q50236,R564942,0.4209,0.3751,0.0862,0.234,0.3319,0.1153
Q50238,R240676,0.7602,0.3156,0.0526,0.8676,0.2665,0.0783
Q50253,R811203,0.8154,0.278,0.067,0.9832,0.1965,0.0804
Q50255,R282057,0.8052,0.3363,0.0876,0.4648,0.291,0.0821
Q50262,R435917,0.5345,0.4002,0.0843,0.4047,0.2725,0.0929
Q50268,R997315,0.7187,0.3083,0.0659,0.714,0.2306,0.0785
Q50272,R757280,0.5059,0.3282,0.0614,0.2808,0.1937,0.0673
Q50276,R626640,0.5162,0.4135,0.0793,0.4984,0.2822,0.0921
Q50278,R113081,0.628,0.3797,0.0787,0.2197,0.2005,0.0725
Q50280,R992967,0.9136,0.3212,0.0708,0.7696,0.2433,0.0821
Q50287,R236028,0.5296,0.3963,0.0866,0.33,0.2382,0.0862
Q50292,R986782,0.3762,0.3995,0.0817,0.2008,0.2326,0.0676
Q50293,R591705,0.4473,0.3898,0.073,0.2549,0.2834,0.0794
Q50295,R254796,0.331,0.3389,0.0626,0.3648,0.2847,0.0806
Q50303,R604557,0.7185,0.391,0.0868,0.7288,0.2642,0.0825
Q50304,R844983,0.908,0.4314,0.1274,0.8985,0.3485,0.1263
Q50305,R670091,0.7101,0.3061,0.0677,0.4433,0.2528,0.0836
Q50310,R599091,0.7636,0.362,0.0834,0.5039,0.3004,0.0781
Q50317,R745226,0.4664,0.4007,0.0735,0.2817,0.296,0.0875
Q50319,R653114,0.8029,0.4174,0.0992,0.4839,0.2648,0.0827
Q50321,R339892,0.4708,0.3901,0.0829,0.3527,0.3102,0.0876
Q50323,R548587,0.885,0.3051,0.0721,0.739,0.2733,0.0871
Q50326,R462058,0.761,0.3595,0.0908,0.7086,0.2766,0.0844
Q50327,R646761,0.6394,0.4483,0.0988,0.2711,0.1951,0.0741
Q50328,R653911,0.5144,0.3811,0.0834,0.6083,0.2575,0.1023
Q50332,R812340,0.8228,0.4145,0.1119,0.6162,0.2441,0.0891
Q50343,R079876,0.4149,0.3925,0.0714,0.2401,0.2083,0.0598
Q50348,R812220,0.3858,0.4171,0.0745,0.5822,0.3404,0.0872
Q50364,R809198,0.4828,0.3807,0.0813,0.3805,0.3264,0.1077
Q50371,R459531,0.5357,0.3973,0.0694,0.2019,0.2381,0.0889
Q50372,R894729,0.2565,0.2978,0.0521,0.1582,0.2155,0.0716
Q50373,R518275,0.775,0.3046,0.0731,0.5777,0.2534,0.079
Q50386,R037975,0.6237,0.4063,0.096,0.6168,0.3348,0.101
Q50387,R336986,0.7988,0.4056,0.0989,0.3667,0.3083,0.1077
Q50391,R757879,0.2321,0.2499,0.0484,0.2611,0.2851,0.1118
Q50402,R608267,0.7768,0.3731,0.0806,0.8763,0.3196,0.0931
Q50405,R871150,0.759,0.3857,0.097,0.4459,0.2715,0.0903
Q50406,R122561,0.5347,0.4256,0.1002,0.3182,0.3127,0.0794
Q50409,R333727,0.6014,0.3807,0.0644,0.4594,0.3387,0.0953
Q50414,R675573,0.6469,0.4372,0.0838,0.6324,0.3485,0.0978
Q50415,R585218,0.7227,0.4015,0.0982,0.5636,0.3345,0.0885
Q50416,R455288,0.5282,0.3846,0.0894,0.3593,0.2404,0.0757
Q50424,R429979,0.6088,0.2934,0.0492,0.5949,0.3062,0.0954
Q50429,R319482,0.9186,0.3509,0.0983,0.789,0.3142,0.1122
Q50430,R781532,0.4661,0.3969,0.0763,0.3024,0.2402,0.0771
Q50434,R988505,0.6728,0.4391,0.1079,0.5869,0.3894,0.1138
Q50438,R346583,0.5628,0.2933,0.0572,0.5019,0.2722,0.0733
Q50442,R656974,0.3314,0.3666,0.0584,0.47,0.311,0.0724
Q50449,R511677,0.5368,0.4066,0.1116,0.3524,0.2613,0.0629
Q50454,R349525,0.5575,0.348,0.0616,0.483,0.2879,0.078
Q50459,R058751,0.6361,0.4032,0.0945,0.368,0.2827,0.0888
Q50461,R534741,0.4878,0.4058,0.0699,0.4768,0.3506,0.0841
Q50466,R849368,0.5247,0.3844,0.0892,0.2362,0.2441,0.0682
Q50469,R036121,0.4351,0.3852,0.0713,0.3112,0.2342,0.08
Q50473,R548868,0.6833,0.432,0.1034,0.3678,0.3013,0.0904
Q50480,R315726,0.5162,0.4259,0.0722,0.4097,0.3409,0.1097
Q50490,R656236,0.851,0.334,0.0723,0.6612,0.2711,0.081
Q50493,R696196,0.3597,0.3578,0.0661,0.3049,0.2044,0.0648
Q50499,R614991,0.7757,0.3479,0.0918,0.5351,0.3009,0.0966
Q50500,R592267,0.4842,0.4218,0.0676,0.0838,0.2344,0.0785
Q50507,R544132,0.6661,0.4128,0.0917,0.681,0.3388,0.1151
Q50518,R215496,0.5471,0.2809,0.0637,0.7048,0.2867,0.0833
Q50521,R418149,0.8334,0.3196,0.0542,0.6874,0.1315,0.0658
Q50523,R827643,0.4296,0.3641,0.066,0.2959,0.2078,0.0708
Q50531,R572405,0.7791,0.4586,0.1172,0.5353,0.3278,0.1113
Q50534,R298269,0.8741,0.3431,0.0783,0.9117,0.3402,0.092
Q50535,R301493,0.7504,0.383,0.0955,0.7985,0.2716,0.0998
Q50551,R862389,0.658,0.4034,0.0987,0.2396,0.2519,0.0799
Q50554,R863400,0.4059,0.3384,0.0695,0.2169,0.1644,0.0664
Q50560,R755377,0.6766,0.3535,0.0686,0.5705,0.3026,0.0966
Q50563,R848207,0.2913,0.4158,0.0752,0.4458,0.3209,0.0852
Q50578,R137255,0.4423,0.3687,0.0639,0.4673,0.3024,0.0784
Q50579,R389723,0.5388,0.4051,0.0726,0.3115,0.2818,0.1008
Q50583,R606744,0.6489,0.4043,0.0878,0.5475,0.3365,0.0923
Q50585,R124306,0.529,0.3633,0.0813,0.5468,0.2638,0.0763
Q50586,R748310,0.6345,0.3788,0.0656,0.2926,0.2722,0.0981
Q50587,R501152,0.4355,0.3888,0.0792,0.4563,0.2422,0.0787
Q50590,R182888,0.8892,0.4583,0.1201,0.6282,0.313,0.1061
Q50592,R317458,0.8098,0.3116,0.0777,0.418,0.2969,0.0758
Q50593,R076432,0.4219,0.3273,0.0521,0.458,0.2438,0.088
Q50595,R513420,0.7237,0.2878,0.0599,0.5101,0.2923,0.081
Q50600,R535499,0.3553,0.3518,0.0727,0.3754,0.3341,0.1019
Q50603,R292619,0.4863,0.4183,0.0731,0.5073,0.2451,0.0701
Q50604,R588421,0.8852,0.3344,0.071,0.8459,0.2523,0.0969
Q50605,R338045,0.4757,0.4243,0.0748,0.4423,0.3791,0.1026
Q50613,R654761,0.3664,0.3415,0.0624,0.5837,0.2589,0.0867
Q50618,R225580,0.888,0.4088,0.1223,0.8131,0.289,0.1209
Q50625,R346672,0.8044,0.3681,0.1001,0.7481,0.2926,0.0803
Q50629,R560802,0.412,0.3606,0.0638,0.1308,0.2112,0.0643
Q50635,R341982,0.3303,0.3344,0.0618,0.4666,0.2998,0.07
Q50641,R266011,0.8256,0.3448,0.0785,0.9159,0.3339,0.1052
Q50642,R677724,0.7719,0.3345,0.0606,0.7568,0.2391,0.0879
Q50644,R436100,0.294,0.3615,0.0624,0.4993,0.2916,0.0771
Q50647,R983211,0.8493,0.429,0.0816,0.9275,0.3284,0.1026
Q50656,R238822,0.4698,0.4105,0.0959,0.6838,0.3593,0.1032
Q50659,R420839,0.1506,0.1356,0.029,0.7249,0.3416,0.0966
Q50665,R971165,0.5192,0.3666,0.0752,0.4321,0.2065,0.075
Q50667,R818075,0.7758,0.3978,0.0753,0.6749,0.3031,0.0843
Q50669,R318260,0.3349,0.3241,0.0673,0.248,0.2808,0.0816
Q50670,R576684,0.4091,0.4274,0.0886,0.5577,0.3719,0.1021
Q50674,R263750,0.4147,0.4379,0.0987,0.2274,0.2998,0.0922
Q50678,R359488,0.5626,0.4239,0.0982,0.4305,0.2812,0.0704
Q50682,R934683,0.5571,0.2679,0.057,0.8376,0.2415,0.096
Q50692,R655420,0.5926,0.3765,0.1106,0.6119,0.3084,0.0912
Q50693,R197871,0.4342,0.3623,0.0761,0.4143,0.3221,0.0807
Q50699,R038543,0.2634,0.2591,0.0483,0.3312,0.2537,0.0864
Q50702,R573728,0.8811,0.3884,0.1071,0.7282,0.3471,0.1026
Q50706,R286338,0.7075,0.3528,0.0684,0.4913,0.2469,0.0771
Q50721,R980164,0.4569,0.3863,0.0683,0.2595,0.2468,0.0681
Q50733,R107406,0.8858,0.3439,0.1091,0.9405,0.2415,0.117
Q50734,R575810,0.4237,0.4248,0.0861,0.3314,0.3221,0.0773
Q50746,R491387,0.9102,0.4257,0.1269,0.952,0.3424,0.1425
Q50749,R151826,0.4805,0.3426,0.055,0.1669,0.2017,0.1107
Q50750,R743456,0.7294,0.3827,0.0911,0.8623,0.3523,0.112
Q50756,R209774,0.3201,0.4448,0.095,0.3937,0.2975,0.0811
Q50777,R511397,0.8417,0.4237,0.1105,0.6636,0.3314,0.0937
Q50784,R390843,0.7444,0.4154,0.1141,0.7211,0.3192,0.0834
Q50789,R847812,0.6743,0.4398,0.1009,0.5341,0.3208,0.0731
Q50794,R314092,0.4365,0.3194,0.0488,0.5113,0.2546,0.0802
Q50797,R045509,0.7327,0.3821,0.0732,0.7275,0.3003,0.0962
Q50799,R718029,0.3671,0.3328,0.0608,0.3483,0.2692,0.0847
Q50817,R740487,0.7737,0.4045,0.1045,0.5739,0.2885,0.0872
Q50828,R210218,0.4817,0.4249,0.0978,0.204,0.2904,0.0872
Q50836,R431754,0.1355,0.1356,0.029,0.2228,0.2038,0.063
Q50845,R018328,0.5325,0.3308,0.0565,0.4859,0.3176,0.0949
Q50853,R383684,0.6798,0.3576,0.0855,0.7212,0.2763,0.0959
Q50859,R054725,0.4022,0.3875,0.0764,0.2729,0.2735,0.0877
Q50860,R838873,0.3819,0.3982,0.063,0.1642,0.2012,0.0715
Q50864,R773601,0.5656,0.3812,0.0745,0.5599,0.3178,0.0833
Q50870,R642930,0.6694,0.3174,0.0572,0.5107,0.3534,0.0936
Q50880,R891919,0.1077,0.1356,0.029,0.1375,0.1433,0.0535
Q50884,R042163,0.4319,0.3639,0.069,0.2814,0.2059,0.0638
Q50886,R335502,0.58,0.3613,0.0857,0.3661,0.2801,0.0825
Q50889,R373975,0.4169,0.3582,0.0669,0.3342,0.3022,0.091
Q50892,R316923,0.8668,0.3046,0.0761,0.9126,0.3008,0.0937
Q50903,R318645,0.8386,0.3758,0.103,0.8647,0.3132,0.1002
Q50923,R610057,0.5305,0.3857,0.0676,0.5895,0.2811,0.0972
Q50932,R971432,0.6632,0.3669,0.083,0.5655,0.3384,0.0919
Q50934,R672758,0.786,0.3917,0.116,0.9777,0.3319,0.1162
Q50935,R667963,0.5819,0.3532,0.0738,0.5833,0.2739,0.0827
Q50937,R923078,0.1072,0.1356,0.029,0.2703,0.2055,0.0701
Q50957,R900689,0.8421,0.4255,0.1025,0.7336,0.3466,0.1066
Q50959,R599875,0.6811,0.3948,0.1013,0.2191,0.2514,0.0972
Q50966,R593741,0.2089,0.3092,0.0516,0.5674,0.2891,0.0945
Q50967,R912199,0.5297,0.4072,0.1042,0.3644,0.2337,0.1183
Q50968,R927166,0.7573,0.3931,0.0849,0.7412,0.3675,0.1106
Q50976,R132293,0.6092,0.3727,0.07,0.421,0.2597,0.0848
Q50984,R947912,0.7505,0.3808,0.0975,0.407,0.3137,0.0704
Q50985,R697315,0.7294,0.4181,0.095,0.4355,0.261,0.0787
Q50987,R912647,0.8367,0.4366,0.1087,0.8308,0.3589,0.1174
Q51002,R659708,0.38,0.4063,0.0899,0.4882,0.2836,0.0865
Q51003,R436568,0.7865,0.3506,0.0677,0.6942,0.3257,0.0946
Q51012,R434556,0.6546,0.4061,0.0761,0.1761,0.182,0.0666
Q51031,R460807,0.6619,0.3675,0.0908,0.5079,0.3401,0.0933
Q51035,R340048,0.7316,0.2501,0.0629,0.5356,0.282,0.0734
Q51036,R281869,0.5805,0.3857,0.0848,0.3871,0.2845,0.0815
Q51038,R698477,0.6333,0.4268,0.0868,0.7659,0.3273,0.1103
Q51042,R324606,0.6562,0.3728,0.0784,0.4634,0.2776,0.0962
Q51046,R375451,0.898,0.3363,0.0597,0.9567,0.2264,0.0991
Q51048,R952593,0.3457,0.3754,0.0652,0.3908,0.3066,0.0776
Q51054,R670151,0.6511,0.343,0.0667,0.319,0.2256,0.0789
Q51062,R096518,0.5102,0.3991,0.0686,0.2755,0.2783,0.0861
Q51079,R312171,0.7429,0.3903,0.0841,0.515,0.2725,0.0928
Q51082,R358592,0.2639,0.2938,0.0484,0.6357,0.2342,0.1048
Q51089,R665967,0.4153,0.3851,0.0785,0.5732,0.3043,0.0858
Q51098,R778731,0.8154,0.3617,0.0852,0.5465,0.333,0.0912
Q51099,R371082,0.4041,0.4359,0.0911,0.1467,0.3343,0.0916
Q51102,R049903,0.3911,0.3868,0.0677,0.4433,0.2483,0.0779
Q51111,R403695,0.9088,0.3734,0.1101,0.8991,0.3545,0.1391
Q51118,R265751,0.8596,0.3435,0.0687,0.8225,0.3171,0.1079
Q51121,R024445,0.9061,0.3726,0.1129,0.9296,0.2392,0.1152
Q51122,R963530,0.0959,0.1356,0.029,0.1764,0.1895,0.0663
Q51123,R492543,0.7513,0.4285,0.1067,0.4789,0.367,0.0857
Q51126,R927082,0.4519,0.3113,0.0547,0.514,0.2504,0.107
Q51132,R271075,0.6708,0.3499,0.0792,0.3643,0.319,0.0796
Q51140,R945346,0.7024,0.4318,0.095,0.4191,0.3107,0.0893
Q51143,R438511,0.7982,0.4226,0.1068,0.6663,0.3755,0.1035
Q51147,R275267,0.4394,0.4211,0.0877,0.5218,0.3262,0.1011
Q51149,R334277,0.3958,0.3871,0.0652,0.1689,0.1554,0.0651
Q51154,R587120,0.5206,0.3593,0.0693,0.4328,0.281,0.0729
Q51164,R548517,0.5321,0.381,0.0676,0.3398,0.3248,0.0839
Q51165,R812497,0.4066,0.4136,0.0891,0.5264,0.365,0.0911
Q51169,R679841,0.8492,0.4201,0.0911,0.702,0.3128,0.106
Q51171,R137972,0.4917,0.4327,0.0837,0.3545,0.2635,0.0912
Q51175,R023609,0.7876,0.3491,0.0916,0.3947,0.2253,0.0714
Q51181,R790155,0.5141,0.3455,0.0623,0.7046,0.2934,0.1004
Q51190,R850095,0.6621,0.4025,0.0855,0.5067,0.2502,0.0761
Q51192,R438973,0.427,0.3211,0.0644,0.1915,0.1646,0.1117
Q51206,R320252,0.756,0.4092,0.1079,0.4697,0.3065,0.0963
Q51210,R229697,0.3334,0.3492,0.0547,0.4207,0.231,0.0926
Q51213,R934129,0.3089,0.3083,0.0565,0.4403,0.2649,0.0817
Q51219,R878816,0.7853,0.4252,0.1086,0.9156,0.3325,0.1321
Q51220,R648819,0.8429,0.3916,0.0994,0.4943,0.258,0.1014
Q51229,R878457,0.3049,0.3168,0.0486,0.202,0.2423,0.0876
Q51231,R339925,0.4935,0.3361,0.0612,0.5801,0.2377,0.0822
Q51238,R968265,0.6936,0.4242,0.0935,0.4008,0.2695,0.0728
Q51244,R852557,0.2411,0.3743,0.0663,0.5598,0.3506,0.0994
Q51249,R937234,0.5582,0.4118,0.0874,0.384,0.2199,0.0803
Q51250,R915090,0.3151,0.3754,0.0941,0.2126,0.3411,0.1147
Q51257,R754850,0.7793,0.3329,0.0824,0.675,0.1708,0.1094
Q51259,R151220,0.4017,0.3644,0.0624,0.3992,0.2911,0.0844
Q51260,R787532,0.3734,0.3912,0.0731,0.4298,0.3265,0.0858
Q51261,R295380,0.5344,0.3727,0.0719,0.3699,0.2685,0.0766
Q51266,R920185,0.5993,0.4313,0.1002,0.2461,0.2927,0.0859
Q51281,R136356,0.5724,0.374,0.0738,0.5991,0.2693,0.0816
Q51282,R181054,0.653,0.4478,0.1022,0.4262,0.3784,0.099
Q51283,R289349,0.4407,0.4407,0.0894,0.203,0.2567,0.0779
Q51292,R090307,0.646,0.4168,0.1118,0.7547,0.2908,0.0924
Q51299,R159333,0.372,0.3754,0.0748,0.3186,0.2418,0.0756
Q51305,R233819,0.4475,0.3245,0.0666,0.3652,0.2491,0.0905
Q51308,R449116,0.7149,0.4598,0.0963,0.734,0.3288,0.0904
Q51310,R711363,0.8937,0.3623,0.0789,0.3037,0.2728,0.0905
Q51316,R070496,0.2221,0.2506,0.0518,0.2423,0.2391,0.0932
Q51320,R457719,0.5947,0.3836,0.0816,0.3537,0.2898,0.0816
Q51321,R954281,0.808,0.3387,0.0692,0.4565,0.2994,0.0854
Q51323,R635294,0.7609,0.2927,0.0607,0.7027,0.2984,0.0991
Q51326,R483280,0.4852,0.3674,0.0605,0.675,0.2974,0.094
Q51331,R201373,0.7483,0.3318,0.0634,0.6936,0.3253,0.0857
Q51332,R835422,0.1791,0.1356,0.029,0.3593,0.1773,0.0635
Q51338,R149700,0.8081,0.4417,0.0934,0.671,0.3028,0.0987
Q51350,R347088,0.3657,0.3637,0.0599,0.2202,0.2978,0.0814
Q51356,R656565,0.6415,0.3522,0.072,0.6859,0.2919,0.1013
Q51359,R769987,0.8714,0.414,0.1092,0.7089,0.3123,0.0984
Q51360,R717059,0.7093,0.3854,0.092,0.5194,0.3046,0.0912
Q51369,R111460,0.7886,0.3126,0.0664,0.7188,0.279,0.0701
Q51370,R451089,0.341,0.3864,0.0801,0.5697,0.3378,0.0818
Q51373,R479436,0.213,0.2937,0.0534,0.1578,0.2191,0.1062
Q51379,R996759,0.5464,0.3957,0.0705,0.3033,0.2551,0.0858
Q51384,R139086,0.8262,0.3157,0.0656,0.6386,0.27,0.0935
Q51393,R847952,0.6513,0.3752,0.0758,0.7447,0.2741,0.0908
Q51395,R341319,0.7952,0.3238,0.0698,0.7794,0.25,0.0777
Q51409,R477977,0.9172,0.4175,0.1151,0.8248,0.3184,0.103
Q51410,R498648,0.8173,0.4073,0.096,0.8396,0.3122,0.0963
Q51416,R558151,0.9452,0.2395,0.0503,0.7627,0.2623,0.085
Q51421,R058682,0.7747,0.4046,0.0927,0.7846,0.3068,0.0973
Q51425,R816958,0.8743,0.3429,0.0742,0.9271,0.3143,0.0954
Q51427,R021292,0.4207,0.35,0.0618,0.4156,0.3046,0.0845
Q51430,R803842,0.4141,0.3392,0.0519,0.3321,0.2828,0.0916
Q51433,R542808,0.1414,0.1356,0.029,0.1293,0.2098,0.0657
Q51437,R389883,0.6417,0.4449,0.1056,0.4299,0.3216,0.0812
Q51445,R767344,0.6145,0.3527,0.0752,0.411,0.2811,0.0815
Q51446,R124762,0.7987,0.3557,0.0889,0.8572,0.2522,0.098
Q51452,R224484,0.8046,0.414,0.0881,0.6273,0.3434,0.0884
Q51454,R741685,0.4877,0.4265,0.096,0.3866,0.341,0.0843
Q51466,R693318,0.4234,0.382,0.0834,0.2704,0.2108,0.0725
Q51473,R181053,0.6892,0.4322,0.1103,0.6783,0.3312,0.0833
Q51478,R813894,0.5429,0.3258,0.0755,0.2942,0.2416,0.0672
Q51481,R008569,0.7781,0.347,0.0585,0.3888,0.1949,0.0932
Q51485,R806715,0.6382,0.392,0.0831,0.4884,0.2611,0.0769
Q51496,R482377,0.4158,0.3676,0.0748,0.3969,0.231,0.0663
Q51506,R349836,0.3744,0.3292,0.0547,0.1579,0.2863,0.0807
Q51507,R279350,0.4411,0.3145,0.0565,0.2723,0.2819,0.0939
Q51508,R592464,0.7936,0.3506,0.0804,0.9633,0.3081,0.0967
Q51511,R558045,0.3966,0.3446,0.0577,0.4874,0.2846,0.0845
Q51514,R112851,0.7512,0.3875,0.1047,0.3855,0.2369,0.0882
Q51523,R534742,0.5154,0.3392,0.0691,0.0758,0.1355,0.0582
Q51533,R188390,0.8762,0.2036,0.0504,0.9671,0.1822,0.1022
Q51536,R081401,0.718,0.4328,0.0979,0.5635,0.3303,0.0809
Q51540,R135043,0.4971,0.3641,0.0662,0.6266,0.2408,0.0735
Q51541,R747324,0.2786,0.3532,0.0678,0.3446,0.2654,0.0728
Q51550,R127053,0.2907,0.3691,0.0759,0.3886,0.2618,0.0826
Q51554,R848404,0.3696,0.4148,0.08,0.254,0.325,0.0857
Q51556,R691545,0.7061,0.3478,0.0619,0.5035,0.2519,0.0822
Q51560,R427901,0.827,0.4205,0.1135,0.493,0.2197,0.079
Q51564,R920883,0.8429,0.3214,0.0682,0.5633,0.2115,0.0929
Q51567,R597585,0.5973,0.3827,0.0741,0.309,0.2742,0.0912
Q51569,R566164,0.8414,0.3368,0.0961,0.7711,0.2672,0.0927
Q51571,R542239,0.463,0.4077,0.0652,0.2308,0.3184,0.083
Q51579,R036095,0.7104,0.4041,0.0954,0.5618,0.3445,0.0998
Q51581,R134954,0.3565,0.2605,0.0484,0.5273,0.2936,0.0947
Q51592,R614855,0.4974,0.4111,0.0812,0.443,0.2533,0.0699
Q51593,R256955,0.4366,0.4165,0.094,0.3828,0.2732,0.1009
Q51599,R590003,0.7869,0.3281,0.0687,0.8204,0.2934,0.1006
Q51605,R989939,0.835,0.3322,0.0892,0.8735,0.3681,0.1113
Q51610,R187260,0.5932,0.4014,0.0902,0.2013,0.211,0.0741
Q51612,R976460,0.3799,0.3814,0.0698,0.4296,0.3509,0.0953
Q51613,R034896,0.4806,0.4066,0.0806,0.5556,0.3129,0.1171
Q51618,R054939,0.8584,0.2878,0.0646,0.7773,0.3158,0.0916
Q51623,R967238,0.38,0.3779,0.0689,0.2485,0.2197,0.0678
Q51628,R127898,0.1363,0.1356,0.029,0.4708,0.3124,0.0788
Q51631,R725283,0.7657,0.287,0.055,0.6648,0.2707,0.0814
Q51632,R539137,0.4472,0.2849,0.0596,0.5589,0.3069,0.0853
Q51636,R505397,0.6567,0.4146,0.0776,0.5749,0.3381,0.0964
Q51656,R139533,0.6986,0.3428,0.0734,0.52,0.2734,0.0727
Q51657,R765783,0.625,0.3997,0.0742,0.5152,0.2848,0.0922
Q51686,R436353,0.6092,0.3248,0.0679,0.5273,0.2317,0.1023
Q51700,R501491,0.3232,0.3449,0.0623,0.4492,0.3262,0.0983
Q51706,R579720,0.5594,0.2333,0.047,0.4004,0.2141,0.1025
Q51709,R229495,0.3348,0.3409,0.0592,0.4496,0.2702,0.0783
Q51720,R400186,0.4061,0.3437,0.0631,0.2273,0.1984,0.0594
Q51725,R012389,0.7407,0.3639,0.0979,0.9106,0.3094,0.112
Q51728,R909977,0.7424,0.4433,0.1025,0.6453,0.3704,0.1049
Q51729,R246159,0.4354,0.3652,0.0697,0.7451,0.3584,0.111
Q51740,R990481,0.8439,0.4156,0.1051,0.804,0.3467,0.1215
Q51747,R665284,0.5347,0.4228,0.0993,0.5673,0.3298,0.0999
Q51755,R545478,0.411,0.3963,0.077,0.3219,0.2978,0.0792
Q51759,R618464,0.4927,0.4151,0.0969,0.2661,0.3554,0.1138
Q51760,R048825,0.6694,0.317,0.0659,0.3636,0.2335,0.1115
Q51761,R351727,0.6768,0.4276,0.0826,0.8774,0.1899,0.1042
Q51768,R113407,0.7971,0.42,0.0983,0.6331,0.3078,0.0988
Q51771,R549470,0.6431,0.3204,0.0705,0.4695,0.2601,0.0714
Q51773,R889958,0.5232,0.3585,0.0796,0.6688,0.3757,0.1093
Q51778,R168866,0.1688,0.1357,0.029,0.8452,0.2074,0.0679
Q51785,R703147,0.7338,0.4083,0.1059,0.4937,0.3014,0.0784
Q51793,R005216,0.6493,0.3984,0.098,0.4916,0.3134,0.0794
Q51798,R957293,0.8023,0.3319,0.0828,0.7306,0.2287,0.0799
Q51799,R900809,0.4156,0.3643,0.0577,0.3852,0.297,0.0888
Q51802,R481400,0.7579,0.3404,0.0592,0.3297,0.2454,0.0695
Q51804,R764732,0.8875,0.3128,0.0629,0.7662,0.2861,0.0713
Q51807,R933941,0.8977,0.2242,0.0645,0.8109,0.2554,0.0987
Q51827,R398307,0.7946,0.4021,0.0838,0.802,0.3151,0.1098
Q51831,R022675,0.8756,0.4139,0.1102,0.6382,0.3136,0.0984
Q51833,R070226,0.8218,0.3984,0.1074,0.5551,0.3043,0.0934
Q51834,R270944,0.9379,0.2649,0.0685,0.9632,0.2631,0.0728
Q51846,R173058,0.8641,0.3936,0.1016,0.6574,0.28,0.09
Q51847,R827757,0.2973,0.329,0.0635,0.3199,0.2985,0.0744
